source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,phot_rp_mean_flux_over_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error
1734945824403206400,27.63281647923021,0.08232617,16.91253,4.1479816,270.1873,1081.0199,19.061094
4414849698772235136,27.63355640683756,0.027214877,6.051827,1.2108116,496.33606,3595.01,1018.81213
3128817124622084864,27.633909312411816,0.020216018,12.634453,2.4492025,728.2598,1689.2651,560.7129
3277175602945236608,27.636155398012438,0.035457805,15.030052,3.2277393,830.2499,1677.7542,159.6097
5591625039433113600,27.637791824564353,0.01563157,11.257156,1.9586458,2845.7842,2679.1912,1382.3644
3732207661169873792,27.638301879396355,0.24374723,18.006401,4.363489,263.58292,624.78564,11.006014
1026548624568202368,27.641554094535035,0.024666706,14.748744,3.098546,788.0593,1592.2009,304.252
2433685704371966208,27.642396683350476,0.0642987,16.058367,3.470374,430.55408,1092.3599,63.587704
5075752085095892224,27.642751805521414,0.033132937,14.918798,3.414978,1035.7184,1904.2499,234.62181
3715500448842312064,27.643690660184276,0.024006858,7.542841,0.8539252,490.158,3730.0608,1619.8392
1237537449874859520,27.644932621088184,0.07698653,16.369194,3.8111124,609.36316,955.86743,21.280724
5708841775039681024,27.64544696865506,0.018740682,8.462346,1.0487032,1390.7349,3122.7954,1054.2672
6040291273229121408,27.645740394720352,0.022167627,7.1986074,0.78358173,2404.0698,8106.5894,2977.9146
163267138742006912,27.64616713283632,0.13890384,17.460028,4.6435757,276.88947,777.59265,9.870952
5026631403124824448,27.64694758470726,0.021763764,14.128483,3.1477098,1406.216,2352.4133,382.8469
6001414534947341184,27.647356764387506,0.024157325,12.645096,2.482315,1435.9282,2214.6814,664.74207
518891358563964928,27.647478202419563,0.09626923,17.213688,4.3925543,587.9567,974.38696,19.888279
889417637431310208,27.64867643930634,0.024630938,12.755757,2.5848322,627.5379,1403.6871,281.50708
5528565470596048256,27.65046014468136,0.015870798,6.3118386,0.7364216,2076.9675,6062.679,1708.9518
3549471753507182592,27.65107561727103,0.05112967,15.955912,0.39243507,191.38432,766.0197,178.53969
