,source_id,ra,dec,parallax,pmra,pmdec,bp_rp,phot_g_mean_mag
234,1551723103671639808,203.51956691581566,46.64025541831046,11.12531993224885,-19.537926092831455,-6.156297638945443,2.859189,15.505052
235,1562168842092340352,203.5302901144574,55.348408099621295,10.830013036145383,-19.066097437766068,-5.966318691679572,-0.023746014,5.5928698
236,1662057686768790272,204.0228754579751,58.81556215946556,10.356809932026763,-19.372382136932586,-4.496748933801338,2.883996,15.675353
237,1662057686768790144,204.0237770852934,58.81589457080261,10.234070283829642,-16.74120718925411,-5.6825101182188344,2.9623013,15.421317
238,1552518737773228672,204.15537370800493,48.85432981694182,11.008275283524476,-19.048354406250418,-6.402712619123051,2.7240944,15.279593
239,1562056417028500352,204.56224109915794,54.657715669481604,11.245951787943593,-18.820490606709118,-5.3115326554919315,2.7259884,15.549674
242,1662855584317183744,204.86345066815085,61.06172581076397,10.168927697550082,-17.799943038169143,-4.421195922461474,1.4097242,11.845004
243,1662855584317698176,204.86545018035633,61.06415599317817,10.058271772421145,-18.54154847075654,-4.50781702281242,3.337799,18.013868
245,1561672378233017728,205.39703779302997,53.56215895126103,10.573745830135238,-18.367209659140936,-4.73164049885615,2.5972614,14.321616
246,1561660249245388672,205.40211544452362,53.337506753678326,10.504028683629615,-18.27646955475405,-4.8302592657512475,0.80132866,9.585494
247,1552239530539219328,205.56722646828499,48.079699109334236,10.730632827261509,-18.355303334498487,-5.830740677427246,2.652234,14.365506
248,1559141233746429184,205.77534841042316,51.35164452267732,10.334751205996406,-18.067714454062894,-6.116882226327861,2.6600552,15.135986
249,1561779889854217856,205.78235094869063,54.02590264872479,10.658981436798541,-19.29966698562263,-3.6742398054579537,0.7976656,9.54117
250,1562652455409400192,205.8576038155436,56.48042775117492,13.31583467839321,-19.85597181047694,-7.249607045107625,3.0201387,15.887865
251,1558886628085141120,205.92550350548444,50.36211205782043,10.809113036961419,-18.9195279863842,-5.081089773608873,3.5487843,17.629854
252,1559292485314843008,205.97810999022136,52.064389143767265,10.788256585918775,-18.291861137549343,-5.4500554582432015,0.003841877,6.023171
254,1560839669973427200,206.22813146436764,52.92307800052554,10.795009824871089,-18.357471616849985,-5.823068672024327,2.8291092,15.365385
255,1503770755884281344,206.30482000403407,46.31111695711512,11.586558842323232,-19.357874171441285,-6.026048502369181,2.3253098,13.264823
257,1558812754647741312,206.63619242123144,49.96559847470248,9.464953147687998,-15.002453474942154,-3.4640210644544456,2.243782,14.1100025
258,1561439694084279552,206.64842814288883,54.432657688820136,10.741709768261495,-18.558572174463578,-4.74245002224005,-0.036522865,5.6708803
260,1559004000951070976,207.05619914580143,51.22758996205779,10.700748613548939,-18.11903678363349,-4.624988568127717,3.2658281,16.498463
261,1561366782719556480,207.11419169917318,54.042697565765764,10.954710885759788,-18.523233894657256,-4.095720350202581,1.115099,10.805786
262,1560632789988882304,207.12762494307987,52.59343318050256,10.644652685204818,-18.16006889712397,-5.559983126557765,2.7660046,15.32122
263,1561462715108998528,207.211274140694,54.75575433468661,10.709003097183533,-18.309166561911397,-4.500948503209884,3.0643578,16.337059
264,1560767995559564032,207.49283954263672,53.24640212801273,10.75391888787238,-18.178689159888577,-4.667550253583223,2.3320675,14.043365
265,1659280835792910464,208.56684694583737,59.291268020940976,10.721439900758147,-17.822288233952953,-3.3838297196066778,2.4445562,14.322535
266,1512483182943848832,208.64687597095363,51.66921158607837,11.179269816660732,-18.582654187836837,-4.82282816791252,3.5318785,16.894852
267,1512596638799969408,208.65210525406516,52.01121472271308,10.559477801936731,-17.666155495208738,-4.307515468276906,2.3238401,14.0894
268,1657863359146774016,209.06239562539886,56.992333452499835,10.51672855175593,-17.98082230116615,-3.078697214234056,3.0226965,16.43801
269,1512213802594954368,209.30876062841855,50.94916100669021,10.901119673366594,-17.672586991249332,-5.232617306494312,2.89849,15.921012
270,1660813451922920960,209.36944562174517,59.84719034762642,10.015435481454203,-17.265382666204605,-3.3036078305036627,2.9299784,16.471685
271,1512518951431592320,209.5704572716253,51.7332338489995,11.21996636026352,-19.202353029052674,-4.992180276770272,2.9769754,16.002518
272,1512320558301938432,209.59926706115223,51.37842563342229,10.98577490560466,-18.263084960971362,-4.455677555173475,2.261839,13.909266
273,1670841891321489920,209.671216057313,63.68876386597179,10.8098330608397,-18.96027564921516,-4.937420844279939,1.4491282,11.075772
274,1512308601113032192,210.069345510556,51.256648399241236,10.443989393017167,-17.289353815165015,-4.30216217413285,2.8025942,15.742006
275,1658232623254847616,210.0825903422126,57.53993957764234,10.660794985511137,-18.07928221359336,-4.0851340205351105,3.2368402,17.110973
276,1509561299512624000,210.1965966579695,47.66529875134815,10.89368056844842,-17.79665576026391,-5.6571731679563,1.998436,13.248553
277,1509357855501310976,210.26615726811443,47.29604550362413,11.199187010320609,-17.12118119725725,-4.603603383781843,3.19738,16.801321
279,1512261012875442304,210.76605718763327,50.98444096612159,11.670017626987612,-19.766298926320403,-5.544441900000862,2.6020136,14.6835
280,1660095402110621952,210.92622720752243,59.84690292695938,10.425637961084464,-17.609418045132927,-3.1767475498679283,3.111147,16.696903
281,1499294845909337344,211.22796246290906,42.92374632376039,11.524863028772973,-18.770476899436908,-6.086134067173453,1.2318182,11.069293
282,1498322916287022976,211.5684898994338,41.598694106720146,11.297165657565115,-17.953136406822072,-5.89142234825494,2.098751,13.494601
283,1512895774681556736,211.62176545595997,52.985328011452815,10.470009130394446,-18.024425131641454,-2.868214296408601,1.4922018,12.022645
