     twomass      |  lspmname   | tic |   kic    |        catra         |        catdec        | spectype |     r_spectype      |  jmag  |  hmag  |  kmag  |  vmag  |   v    |  e_v  |       bibcode       |   prot   | g_prot |       r_prot        
 07450830-0701288 |             |     |          |     2.02955032618849 |   -0.122603114220587 |          |                     | 11.122 | 10.547 | 10.303 | 15.751 | 15.751 |     0 | APASS8              |   90.461 | A      | 2018AJ....156..217N
 07453221-4814564 |             |     |          |      2.0312879061786 |   -0.842104451846812 |          |                     | 11.568 | 11.033 | 10.738 |  16.62 |  16.62 |  0.03 | 2015AJ....149....5W |          |        | 
 07464191-5841033 |             |     |          |      2.0363565692192 |    -1.02423338156348 |          |                     | 10.515 |  9.945 |  9.664 | 15.101 | 15.101 | 0.136 | APASS8              |    0.901 | A      | 2018AJ....156..217N
 08023786-2002254 |             |     |          |     2.10587519753441 |   -0.349771190309474 |          |                     | 10.429 |  9.802 |  9.575 | 14.663 | 14.663 | 0.014 | APASS8              |          |        | 
 08054616-5912504 |             |     |          |     2.11956889376592 |    -1.03347900147653 | M4.0V    | 2011AJ....141...21W |  10.07 |  9.515 |  9.215 |  14.69 |  14.69 |  0.03 | 2011AJ....141...21W |          |        | 
 08124427-4504335 |             |     |          |     2.14997287840151 |   -0.786725678279808 |          |                     | 11.729 | 11.234 | 10.906 |  17.54 |  17.54 |  0.03 | 2015AJ....149....5W |          |        | 
 08184619-4806172 |             |     |          |      2.1762945030101 |   -0.839586831854103 |          |                     | 10.223 |  9.607 |  9.351 |  14.37 |  14.37 | 0.049 | APASS8              |    1.653 | A      | 2018AJ....156..217N
 08270699-2526544 |             |     |          |     2.21271336348697 |    -0.44415847408428 |          |                     |  9.648 |   9.09 |  8.784 |   13.9 |   13.9 |  0.03 | 2015AJ....149....5W |          |        | 
 08271086-0920212 |             |     |          |     2.21299378553788 |   -0.163000278194445 | M4.0     | 2005A&A...442..211S | 10.147 |  9.578 |  9.296 |  14.44 |  14.44 |  0.01 | APASS8              |          |        | 
 08353172-3400369 |             |     |          |     2.24941824852165 |   -0.593592499989191 |          |                     |  9.903 |  9.373 |  9.076 |  14.26 |  14.26 |  0.03 | 2015AJ....149....5W |  105.923 | B      | 2018AJ....156..217N
 08380119-4145420 |             |     |          |     2.26028740861149 |   -0.728878555364878 |          |                     | 10.369 |  9.754 |  9.438 | 14.597 | 14.597 | 0.031 | APASS8              |          |        | 
 08405661-3113324 |             |     |          |     2.27304527675138 |   -0.544991590399259 |          |                     | 10.062 |  9.537 |  9.272 |  14.34 |  14.34 |  0.03 | 2015AJ....149....5W |          |        | 
 08430943-2937304 |             |     |          |     2.28270403355167 |   -0.517055990018178 |          |                     | 10.529 | 10.007 |  9.723 |  14.93 |  14.93 |  0.03 | 2015AJ....149....5W |          |        | 
 08443891-4805218 |             |     |          |     2.28920906766007 |   -0.839313862359091 |          |                     |  9.365 |   8.81 |  8.562 | 13.932 | 13.932 | 0.038 | APASS8              |  129.513 | A      | 2018AJ....156..217N
 08451204-5249593 |             |     |          |     2.29161896593134 |   -0.922113067471865 |          |                     | 10.652 | 10.076 |  9.797 | 15.066 | 15.066 | 0.063 | APASS8              |          |        | 
 08525414-3507327 |             |     |          |     2.32522379714863 |   -0.613059815199473 |          |                     |  9.769 |  9.185 |  8.944 |  13.79 |  13.79 |  0.03 | 2015AJ....149....5W |   93.249 | B      | 2018AJ....156..217N
 08541227-0804594 |             |     |          |     2.33090751421763 |    -0.14107793049843 | M6.0     | 2005PASP..117..676R |  11.56 | 11.083 |  10.81 |  17.22 |  17.22 |  0.04 | 2017AJ....154..147D |          |        | 
 08582923-2714225 |             |     |          |     2.34959330589545 |   -0.475420288047227 |          |                     |   9.51 |  8.879 |  8.631 | 13.591 | 13.591 | 0.072 | APASS8              |          |        | 
 09044018-1219116 |             |     |          |     2.37657007474537 |    -0.21502302795596 | M5.0     | 2003AJ....126.3007R | 10.746 | 10.204 |  9.893 | 15.697 | 15.697 | 0.021 | APASS8              |  107.722 | B      | 2018AJ....156..217N
 09054323-0841581 |             |     |          |     2.38115683492619 |   -0.151835651315533 |          |                     | 10.828 | 10.241 |  9.961 |  15.88 |  15.88 |  0.03 | 2015AJ....149....5W |  102.195 | B      | 2018AJ....156..217N
 09062057-2738420 |             |     |          |     2.38386979216878 |   -0.482496481153343 |          |                     | 10.756 | 10.174 |  9.892 | 15.347 | 15.347 | 0.082 | APASS8              |          |        | 
 09123226-1711224 |             |     |          |     2.41089794351188 |    -0.30001534399362 |          |                     |  9.931 |  9.279 |  9.002 | 14.148 | 14.148 | 0.006 | 2003AJ....126.3007R |          |        | 
 09125959-8311515 |             |     |          |     2.41289025430632 |    -1.45207367291344 |          |                     | 11.563 | 10.981 | 10.687 |  16.66 |  16.66 |  0.03 | 2015AJ....149....5W |          |        | 
 09145384-7304192 |             |     |          |     2.42119692198838 |    -1.27534735753644 |          |                     | 10.499 |  9.872 |  9.608 |  14.68 |  14.68 |  0.03 | 2015AJ....149....5W |          |        | 
 09224626-1547235 |             |     |          |     2.45555250658342 |   -0.275585097788829 | M5.5     | 2003AJ....126.3007R | 10.965 |  10.39 | 10.051 | 16.238 | 16.238 |     0 | APASS8              |          |        | 
 09312228-1717425 |             |     |          |     2.49307724258093 |   -0.301857731005318 | M6.5     | 2005A&A...441..653C | 11.073 | 10.467 | 10.069 |  17.55 |  17.55 |  0.03 | 2015AJ....149....5W |          |        | 
 09342791-2643267 |             |     |          |     2.50657919694082 |   -0.466423744071727 |          |                     |  9.473 |  8.942 |  8.619 | 13.992 | 13.992 | 0.042 | APASS8              |    0.694 | A      | 2018AJ....156..217N
 09385389-3348456 |             |     |          |     2.52591428600697 |   -0.590141059033495 |          |                     | 11.512 | 11.053 | 10.776 |  16.87 |  16.87 |  0.03 | 2015AJ....149....5W |          |        | 
 09421283-0701456 |             |     |          |     2.54038697504353 |   -0.122687239090533 | M4.0     | 2005A&A...442..211S |  9.748 |  9.215 |  8.916 | 13.986 | 13.986 | 0.029 | APASS8              |          |        | 
 09482557-5644220 |             |     |          |     2.56749394545564 |   -0.990290200817404 |          |                     |  9.571 |  8.919 |  8.665 | 13.901 | 13.901 |  0.03 | APASS8              |          |        | 
 09495726-0849480 |             |     |          |     2.57416064941265 |   -0.154113515428895 |          |                     | 11.087 | 10.537 | 10.295 | 15.873 | 15.873 | 0.074 | APASS8              |  113.677 | B      | 2018AJ....156..217N
 09504053-1348385 |             |     |          |     2.57730850779825 |   -0.241042501164446 | M4.0     | 2005A&A...442..211S |  8.579 |  7.972 |  7.717 |  12.71 |  12.71 |  0.03 | 2015AJ....149....5W |          |        | 
 09520447-2456335 |             |     |          |     2.58341407094746 |   -0.435332029897679 |          |                     | 10.543 | 10.068 |  9.785 |  14.92 |  14.92 |     0 | APASS8              |          |        | 
 09524176-1536137 |             |     |          |     2.58612489888836 |   -0.272338087248419 | M3.5V    | 2015A&A...577A.128A |   9.32 |  8.726 |  8.507 |  13.43 |  13.43 |       | 2002AJ....123.2822R |   99.662 | B      | 2018AJ....156..217N
 09552387-2715405 |             |     |          |     2.59791257340365 |   -0.475799600453563 | M3       | 2014MNRAS.443.2561G |  8.032 |  7.433 |  7.143 |  12.08 |  12.08 |  0.03 | 2015AJ....149....5W |          |        | 
 10374532-2746388 |             |     |          |     2.78273276592031 |   -0.484807035283595 | M5       | 2014MNRAS.443.2561G |  8.595 |  8.035 |  7.719 |  13.14 |  13.14 |  0.03 | 2015AJ....149....5W |   91.718 | A      | 2018AJ....156..217N
 10404745-4445533 |             |     |          |     2.79597799980053 |   -0.781293637688948 |          |                     |  9.504 |  8.835 |  8.662 | 13.605 | 13.605 | 0.031 | APASS8              |          |        | 
 10423705-0355065 |             |     |          |     2.80394589907478 |  -0.0683905172998876 | M4.0     | 2005A&A...442..211S |  9.725 |  9.166 |  8.884 | 13.917 | 13.917 | 0.041 | APASS8              |          |        | 
 10424135-2416050 |             |     |          |     2.80426096591135 |   -0.423556764673372 |          |                     | 10.277 |  9.672 |  9.338 |  16.53 |  16.53 |       | 2017AJ....153...14W |    1.357 | A      | 2018AJ....156..217N
 10442927-1838063 |             |     |          |     2.81210903087916 |   -0.325244008518028 |          |                     | 10.057 |  9.553 |  9.291 |  14.51 |  14.51 |       | 1996AJ....112.2300W |          |        | 
 10453394-3249517 |             |     |          |     2.81680977851343 |   -0.573008732562993 |          |                     |  9.869 |  9.233 |  8.966 | 14.012 | 14.012 | 0.023 | APASS8              |          |        | 
 10455184-2309001 |             |     |          |     2.81811125308335 |    -0.40404581623179 |          |                     | 10.044 |  9.488 |  9.176 | 15.156 | 15.156 |     0 | APASS8              |    2.048 | B      | 2018AJ....156..217N
 10544197-0718326 |             |     |          |     2.85666531446052 |   -0.127569396247259 | M4.0V    | 2015A&A...577A.128A |  8.877 |  8.254 |   7.97 |  13.29 |  13.29 |       | 2017AJ....153...14W |          |        | 
 11025707-0615003 |             |     |          |     2.89267070643759 |    -0.10908477121902 |          |                     | 10.483 |  9.919 |  9.609 |  14.75 |  14.75 | 0.029 | APASS8              |          |        | 
 11043379-6232344 |             |     |          |     2.89970438332312 |    -1.09157952874556 |          |                     | 10.256 |  9.677 |  9.357 |   15.2 |   15.2 |  0.03 | 2015AJ....149....5W |    0.756 | B      | 2018AJ....156..217N
 11043915-7257043 |             |     |          |     2.90009346957327 |    -1.27323854601442 |          |                     | 10.266 |  9.715 |  9.391 | 14.703 | 14.703 | 0.034 | APASS8              |          |        | 
 11052164-0453351 |             |     |          |     2.90318327830795 |  -0.0854011768682326 |          |                     | 10.048 |  9.424 |  9.189 | 14.144 | 14.144 | 0.043 | APASS8              |          |        | 
 11053986-5247173 |             |     |          |     2.90450660440011 |   -0.921326901363597 |          |                     |  9.654 |  9.072 |  8.809 | 13.859 | 13.859 | 0.035 | APASS8              |   76.941 | A      | 2018AJ....156..217N
 11071771-2549242 |             |     |          |     2.91162335895804 |   -0.450703860204987 |          |                     | 10.591 |  9.999 |  9.711 | 15.035 | 15.035 |     0 | APASS8              |          |        | 
 11075025-3421003 |             |     |          |     2.91399091554166 |   -0.599522971707835 | M4.0V    | 2011AJ....141...21W | 10.262 |  9.696 |  9.407 |  15.04 |  15.04 |  0.03 | 2011AJ....141...21W |    7.611 | A      | 2018AJ....156..217N
 11101565-2411430 |             |     |          |      2.9245644692161 |   -0.422287439068274 |          |                     | 10.868 | 10.291 |  9.973 | 15.445 | 15.445 | 0.056 | APASS8              |          |        | 
 11102904-3608244 |             |     |          |     2.92553598929093 |   -0.630764644571214 |          |                     | 10.926 | 10.337 | 10.003 |  15.76 |  15.76 |  0.03 | 2011AJ....141...21W |          |        | 
 11161866-2549214 |             |     |          |     2.95096332464409 |   -0.450690752782304 |          |                     |  10.65 | 10.004 |  9.693 | 15.349 | 15.349 | 0.052 | APASS8              |          |        | 
 11163668-4407495 |             |     |          |     2.95227172817114 |   -0.770221600526854 |          |                     |  9.917 |  9.304 |   9.05 |  14.09 |  14.09 |     0 | APASS8              |   89.712 | A      | 2018AJ....156..217N
 11165730-8027522 |             |     |          |     2.95377402032479 |    -1.40437045597098 |          |                     |  9.833 |  9.265 |  8.961 | 15.011 | 15.011 | 0.053 | APASS8              |    0.413 | A      | 2018AJ....156..217N
 11172930-3202095 |             |     |          |     2.95610056167099 |   -0.559135267418523 |          |                     | 10.344 |  9.759 |  9.477 |  14.58 |  14.58 |  0.03 | 2015AJ....149....5W |          |        | 
 11192282-1900296 |             |     |          |     2.96435474730245 |   -0.331756303196117 |          |                     |   9.93 |  9.428 |  9.137 | 14.135 | 14.135 | 0.024 | APASS8              |          |        | 
 11194820-1632381 |             |     |          |     2.96619900181645 |    -0.28874538649435 | M5.0     | 2003AJ....126.3007R | 10.645 |  10.05 |  9.786 | 15.792 | 15.792 |     0 | APASS8              |          |        | 
 11242323-3900429 |             |     |          |     2.98620279633221 |   -0.680887341642545 |          |                     |  9.999 |  9.445 |  9.096 |  14.29 |  14.29 |  0.03 | 2015AJ....149....5W |          |        | 
 11252854-1901528 |             |     |          |     2.99095333821004 |   -0.332161202129287 | M4.5     | 2003AJ....126.3007R | 10.673 | 10.142 |  9.789 | 15.623 | 15.623 |     0 | APASS8              |    0.402 | B      | 2018AJ....156..217N
 11265079-1844585 |             |     |          |     2.99693267914774 |   -0.327243544975575 |          |                     | 10.105 |  9.473 |  9.172 | 14.499 | 14.499 | 0.014 | 2003AJ....126.3007R |          |        | 
 11412152-3624346 |             |     |          |     3.06025465558008 |   -0.635468114919121 | M5       | 2014MNRAS.443.2561G |   8.49 |  7.967 |  7.699 |   13.1 |   13.1 |  0.03 | 2015AJ....149....5W |          |        | 
 11442489-4302535 |             |     |          |     3.07358883143898 |    -0.75133253035105 |          |                     | 12.174 | 11.561 | 11.197 |  18.82 |  18.82 |  0.03 | 2015AJ....149....5W |          |        | 
 11453539-4055585 |             |     |          |     3.07871701020706 |   -0.714414261362022 |          |                     |  9.697 |  9.101 |   8.79 | 14.218 | 14.218 | 0.038 | APASS8              |          |        | 
 11515529-0131319 |             |     |          |     3.10634464724163 |  -0.0266264812690377 | M5       | 2013A&A...556A..15R | 10.544 |  9.987 |  9.643 |  15.64 |  15.64 | 0.028 | 2003AJ....126.3007R |  101.301 | A      | 2018AJ....156..217N
 11541871-3422180 |             |     |          |     3.11677012718232 |   -0.599898671282619 |          |                     |  9.817 |  9.268 |  9.026 | 13.966 | 13.966 | 0.032 | APASS8              |          |        | 
 11574552-0149023 |             |     |          |     3.13181299783222 |  -0.0317184095485611 | M4.5V    | 2011AJ....141...21W | 10.905 | 10.354 | 10.024 |  15.99 |  15.99 |  0.03 | 2011AJ....141...21W |          |        | 
 11575352-2349007 |             |     |          |     3.13239249950376 |   -0.415683095725435 | M4.5     | 2004AJ....128..463R | 10.221 |  9.622 |  9.355 |  14.77 |  14.77 |       | 2004AJ....128..463R |    3.067 | A      | 2018AJ....156..217N
 12065853-3500518 |             |     |          |     3.17202805415192 |   -0.611117368461758 |          |                     |  10.01 |  9.401 |  9.127 |  14.67 |  14.67 |  0.03 | 2011AJ....141...21W |  111.198 | B      | 2018AJ....156..217N
 12092361-3815424 |             |     |          |      3.1825800355568 |    -0.66779503351139 |          |                     | 10.328 |  9.754 |  9.453 |  15.05 |  15.05 |  0.03 | 2015AJ....149....5W |  112.534 | A      | 2018AJ....156..217N
 12102834-1310234 |             |     |          |     3.18728956219721 |    -0.22991836592418 | M4.5V    | 2015A&A...577A.128A |  9.292 |  8.684 |  8.412 |  13.83 |  13.83 |  0.03 | 2015AJ....149....5W |   42.985 | A      | 2018AJ....156..217N
 12115719-0720136 |             |     |          |     3.19374827526726 |   -0.128056761987586 |          |                     |  10.74 | 10.242 |  9.987 | 15.249 | 15.249 |     0 | APASS8              |  140.486 | B      | 2018AJ....156..217N
 12144002-4603141 |             |     |          |     3.20558628507818 |   -0.803793619554203 |          |                     |  10.32 |  9.751 |  9.441 |  15.66 |  15.66 |  0.03 | 2011AJ....141...21W |   38.999 | A      | 2018AJ....156..217N
 12183488-0625232 |             |     |          |       3.222668869665 |   -0.112104923863256 |          |                     |  9.553 |  8.971 |   8.71 |   13.7 |   13.7 | 0.062 | APASS8              |          |        | 
 12183799-2024076 |             |     |          |     3.22289283031461 |   -0.356084116027108 | M4.5     | 2003AJ....126.3007R | 10.891 | 10.293 | 10.033 | 15.638 | 15.638 |     0 | APASS8              |          |        | 
 12194880-2332048 |             |     |          |     3.22804312240432 |   -0.410758369988252 | M4.0     | 2003AJ....126.3007R | 10.489 |  9.902 |   9.58 | 15.208 | 15.208 | 0.011 | APASS8              |    0.663 | A      | 2018AJ....156..217N
 12200512-1812596 |             |     |          |      3.2292303651747 |   -0.317938531508078 | M4.5     | 2003AJ....126.3007R | 10.564 |  9.991 |  9.623 | 15.604 | 15.604 |  0.03 | APASS8              |    2.832 | B      | 2018AJ....156..217N
 12203376-8225577 |             |     |          |     3.23131481190036 |    -1.43872230556141 | M4       | 2014MNRAS.443.2561G |  7.701 |  7.135 |  6.842 |  11.96 |  11.96 |  0.03 | 2015AJ....149....5W |          |        | 
 12212786-5723113 |             |     |          |     3.23524909819362 |    -1.00158293486341 |          |                     | 10.645 |  9.985 |  9.705 | 15.112 | 15.112 | 0.047 | APASS8              |          |        | 
 12220398-0629123 |             |     |          |      3.2378755220119 |   -0.113216855676409 |          |                     | 10.987 |  10.46 | 10.118 | 15.976 | 15.976 |     0 | APASS8              |          |        | 
 12233860-4606203 |             |     |          |      3.2447555226568 |   -0.804695692978096 | M4       | 2006AJ....132..866R |  9.527 |  8.938 |  8.702 | 13.757 | 13.757 | 0.011 | APASS8              |    2.353 |        | 2012AcA....62...67K
 12235633-2757468 |             |     |          |      3.2460458271195 |   -0.488046715441147 | M6.0 V   | 2004AJ....128.2460H | 11.977 | 11.401 | 11.069 |  18.39 |  18.39 |       | 2004AJ....128.2460H |          |        | 
 12243981-8205532 |             |     |          |     3.24920780521876 |    -1.43288266077704 |          |                     | 10.687 | 10.057 |  9.812 |  15.25 |  15.25 |  0.03 | 2015AJ....149....5W |          |        | 
 12300432-4503524 |             |     |          |      3.2728063322218 |   -0.786525279575094 |          |                     | 10.371 |  9.774 |  9.538 | 14.546 | 14.546 | 0.023 | APASS8              |          |        | 
 12301964-2824306 |             |     |          |     3.27392086457554 |   -0.495821878006102 | M4.5     | 2003AJ....126.3007R |  10.85 | 10.269 |  9.957 |  15.39 |  15.39 |  0.03 | 2015AJ....149....5W |   91.132 | A      | 2018AJ....156..217N
 12312119-4018368 |             |     |          |     3.27839417835499 |   -0.703546113563146 |          |                     | 10.444 |   9.94 |  9.635 | 14.857 | 14.857 |     0 | APASS8              |          |        | 
 12365214-0159007 |             |     |          |      3.3024641013357 |  -0.0346193911114709 | M3.5V    | 2015A&A...577A.128A |   9.44 |  8.769 |  8.521 | 13.562 | 13.562 |  0.01 | APASS8              |          |        | 
 12372157-2052349 |             |     |          |     3.30460368301243 |    -0.36436500519612 | M4.0     | 2005A&A...442..211S |  8.972 |  8.322 |  8.085 |  13.28 |  13.28 |       | 2002AJ....123.2822R |          |        | 
 12375884-0929551 |             |     |          |     3.30731503455211 |   -0.165782978793947 |          |                     | 10.445 |  9.945 |  9.659 |  14.67 |  14.67 |       | 1996AJ....112.2300W |          |        | 
 12385218-1002396 |             |     |          |     3.31119233584529 |    -0.17530668201672 |          |                     |  9.979 |  9.432 |  9.131 | 14.069 | 14.069 | 0.042 | APASS8              |          |        | 
 12391746-3427253 |             |     |          |     3.31303231430262 |   -0.601388973024312 |          |                     | 10.295 |  9.754 |  9.477 | 14.515 | 14.515 | 0.006 | APASS8              |          |        | 
 12393641-2658111 |             |     |          |     3.31441077534585 |   -0.470711162832543 |          |                     | 10.042 |  9.581 |  9.233 | 15.324 | 15.324 | 0.054 | APASS8              |          |        | 
 12402148-3441526 |             |     |          |     3.31768511774235 |   -0.605593314112734 |          |                     | 10.387 |   9.88 |  9.606 | 14.575 | 14.575 | 0.037 | APASS8              |          |        | 
 12440075-1110302 |             |     |          |     3.33363159770587 |   -0.195042201973156 | M4.5V    | 2015A&A...577A.128A |  9.516 |  8.969 |  8.674 |  14.22 |  14.22 |       | 2017AJ....153...14W |    2.099 | A      | 2018AJ....156..217N
 12443097-1142145 |             |     |          |     3.33583057293704 |   -0.204274801729988 | M4.0     | 2005A&A...442..211S |  9.932 |  9.381 |  9.073 | 14.228 | 14.228 | 0.011 | APASS8              |          |        | 
 12471472-0525130 |             |     |          |      3.3477394256623 |  -0.0946018021931683 | M4.0V    | 2011AJ....141...21W | 10.126 |   9.62 |  9.291 |  14.78 |  14.78 |  0.03 | 2015AJ....149....5W |          |        | 
 12534870-0842160 |             |     |          |     3.37638945911939 |   -0.151922080020091 |          |                     | 10.737 | 10.207 |  9.855 | 15.909 | 15.909 |     0 | APASS8              |          |        | 
 12591825-0010339 |             |     |          |     3.40035523830364 | -0.00307099408534662 | M4.0V    | 2015A&A...577A.128A |  8.788 |  8.229 |  7.922 |  12.92 |  12.92 |       | 2017AJ....153...14W |          |        | 
 13014511-1918221 |             |     |          |     3.41103424477148 |   -0.336955691397686 | M3.5     | 2007AJ....133.2825R | 10.501 |  9.929 |  9.621 | 14.987 | 14.987 | 0.021 | APASS8              |   82.499 | A      | 2018AJ....156..217N
 13072089-1019464 |             |     |          |     3.43545356521515 |   -0.180285094081693 | M4.5     | 2003AJ....126.3007R | 10.908 | 10.317 | 10.019 |  15.73 |  15.73 | 0.025 | APASS8              |          |        | 
 13105199-7107108 |             |     |          |     3.45080776769702 |    -1.24127221244562 |          |                     | 10.589 | 10.056 |  9.724 | 15.288 | 15.288 |     0 | APASS8              |          |        | 
 13164546-1220203 |             |     |          |     3.47650913719603 |   -0.215356577829308 | M3.5V    | 2015A&A...577A.128A |  9.489 |  8.907 |  8.639 | 13.648 | 13.648 | 0.033 | APASS8              |          |        | 
 13201746-0224128 |             |     |          |     3.49192882443143 |  -0.0419508909805684 | M4.5     | 2003AJ....126.3007R | 10.636 | 10.073 |  9.817 | 15.114 | 15.114 | 0.028 | APASS8              |    1.961 | B      | 2018AJ....156..217N
 13215411-1424098 |             |     |          |     3.49895558981313 |   -0.251374326737477 | M4.0     | 2007AJ....133.2825R |  9.817 |  9.293 |  8.985 | 14.352 | 14.352 | 0.033 | APASS8              |          |        | 
 13244647-0504194 |             |     |          |     3.51149215020386 |  -0.0885256827484454 | M4.0V    | 2015A&A...577A.128A |  9.465 |  8.861 |  8.563 |  13.88 |  13.88 |  0.03 | 2015AJ....149....5W |          |        | 
 13283294-3654233 |             |     |          |      3.5279603439874 |   -0.644139905480702 | M3.5     | 2006AJ....132..866R |  9.831 |  9.257 |  9.028 | 13.926 | 13.926 |  0.02 | APASS8              |          |        | 
 13310146-4535096 |             |     |          |     3.53875892296229 |   -0.795625426294992 |          |                     |  9.469 |   8.95 |  8.702 | 13.474 | 13.474 | 0.027 | APASS8              |          |        | 
 13373434-3711001 |             |     |          |     3.56733224919876 |   -0.648972617459719 |          |                     | 10.547 |  9.998 |  9.664 | 15.038 | 15.038 | 0.068 | APASS8              |          |        | 
 13384087-1132077 |             |     |          |     3.57217173305527 |   -0.201332612943439 | M4.5V    | 2015A&A...577A.128A |  9.714 |  9.104 |  8.814 | 14.265 | 14.265 |  0.02 | APASS8              |          |        | 
 13434146-4002292 |             |     |          |     3.59403123144492 |   -0.698855349212194 |          |                     | 10.137 |   9.61 |  9.248 |  15.06 |  15.06 |       | 2017AJ....153...14W |          |        | 
 13442092-2618350 |             |     |          |     3.59689919137838 |   -0.459192129395721 | M 3.5    | 1995AJ....110.1838R |  9.147 |  8.614 |  8.285 | 13.253 | 13.253 | 0.006 | APASS8              |  154.885 | B      | 2018AJ....156..217N
 13480721-1344321 |             |     |          |      3.6133564594008 |   -0.239847666211823 | M4.5     | 2013A&A...556A..15R | 10.413 |  9.937 |  9.664 | 15.098 | 15.098 | 0.008 | 2003AJ....126.3007R |          |        | 
 13502377-2137193 |             |     |          |     3.62328685924587 |   -0.377378651337888 | M3.5V    | 2015A&A...577A.128A |  9.458 |  8.856 |  8.626 |  13.56 |  13.56 |       | 2002AJ....123.2822R |          |        | 
 13515712-1758490 |             |     |          |      3.6300739211081 |   -0.313815644935847 | M4.5     | 2003AJ....126.3007R | 10.823 |  10.21 |  9.927 | 15.559 | 15.559 | 0.055 | APASS8              |          |        | 
 13580529-3937545 |             |     |          |     3.65685760418287 |   -0.691708889150393 |          |                     |   9.72 |  9.226 |  8.948 |  14.04 |  14.04 |       | 2017AJ....154..191J |          |        | 
 13581621-1202591 |             |     |          |     3.65764083813799 |   -0.210307776635602 | M4.0V    | 2017AJ....154..151B |  9.728 |  9.174 |  8.887 |  14.46 |  14.46 |  0.03 | 2015AJ....149....5W |          |        | 
 13581955-1316248 |             |     |          |     3.65788984426237 |   -0.231667866513087 | M4.0V    | 2015A&A...577A.128A |  9.488 |  8.934 |  8.653 |  13.96 |  13.96 |       | 2002AJ....123.2822R |    6.772 | A      | 2018AJ....156..217N
 13583885-0020124 |             |     |          |     3.65928933652309 | -0.00587942083802322 |          |                     | 10.166 |  9.608 |  9.366 |  14.19 |  14.19 | 0.034 | APASS8              |          |        | 
 14004974-4109540 |             |     |          |     3.66880879859578 |   -0.718465676701384 |          |                     | 10.286 |  9.712 |  9.447 |  15.01 |  15.01 | 0.027 | APASS8              |    0.636 | B      | 2018AJ....156..217N
 14012306-0733475 |             |     |          |     3.67123175192986 |     -0.1320023580144 |          |                     |   9.75 |   9.18 |  8.865 | 14.246 | 14.246 | 0.044 | APASS8              |    0.917 | A      | 2018AJ....156..217N
 14053687-3208389 |             |     |          |     3.68968904510201 |   -0.561020118290921 |          |                     | 10.701 |  10.02 |    9.8 |  15.36 |  15.36 | 0.054 | APASS8              |          |        | 
 14055606-1643325 |             |     |          |     3.69108375516057 |   -0.291918901219959 |          |                     | 10.721 | 10.122 |  9.857 | 15.207 | 15.207 | 0.033 | APASS8              |          |        | 
 14063932-0543293 |             |     |          |     3.69423053144204 |  -0.0999170453504844 |          |                     |  9.571 |  8.961 |  8.684 |  13.96 |  13.96 | 0.029 | APASS8              |   13.114 | A      | 2018AJ....156..217N
 14073557-0600484 |             |     |          |     3.69832142612908 |   -0.104954432090883 |          |                     |  10.88 | 10.326 |  9.973 | 15.848 | 15.848 | 0.026 | APASS8              |          |        | 
 14094424-1855088 |             |     |          |     3.70767949760584 |   -0.330201389365515 |          |                     | 10.562 |  9.984 |  9.729 |  15.02 |  15.02 | 0.028 | APASS8              |          |        | 
 14102258-2750591 |             |     |          |     3.71046622991591 |   -0.486070112609971 |          |                     | 10.888 | 10.313 | 10.051 |  15.43 |  15.43 |  0.03 | 2015AJ....149....5W |    1.161 | B      | 2018AJ....156..217N
 14124189-1340347 |             |     |          |     3.72059556238913 |   -0.238698244726338 |          |                     | 10.057 |  9.441 |  9.177 |   14.3 |   14.3 |       | 1996AJ....112.2300W |          |        | 
 14215503-3125537 |             |     |          |     3.76082501767516 |   -0.548584612463877 | M3.9     | 2009ApJ...699..649S |   9.66 |   9.01 |  8.734 | 13.828 | 13.828 | 0.039 | APASS8              |          |        | 
 14232385-1455354 |             |     |          |     3.76728158399023 |   -0.260514354230784 | M5.0     | 2003AJ....126.3007R | 11.062 | 10.496 | 10.191 | 16.063 | 16.063 | 0.008 | APASS8              |   50.898 | A      | 2018AJ....156..217N
 14253413-1148515 |             |     |          |     3.77675577222213 |   -0.206198713071046 | M4.0V    | 2015A&A...577A.128A |  9.353 |  8.702 |  8.391 | 13.512 | 13.512 | 0.029 | APASS8              |   25.012 | A      | 2018AJ....156..217N
 14294137-4808312 |             |     |          |     3.79473716646714 |   -0.840237769851927 |          |                     | 11.246 | 10.781 | 10.448 | 16.219 | 16.219 |     0 | APASS8              |          |        | 
 14310451-0307170 |             |     |          |      3.8007812242135 |  -0.0544785327388258 |          |                     | 10.212 |  9.608 |  9.327 | 14.868 | 14.868 | 0.027 | APASS8              |    2.117 | B      | 2018AJ....156..217N
 14332835-1825543 |             |     |          |     3.81124291973618 |   -0.321695073470315 |          |                     | 10.185 |  9.615 |  9.371 |  14.31 |  14.31 |       | 1996AJ....112.2300W |          |        | 
 14340491-1824106 |             |     |          |     3.81390021842892 |   -0.321192837524761 |          |                     |   9.58 |  9.033 |  8.708 | 14.346 | 14.346 | 0.046 | APASS8              |   30.396 | A      | 2018AJ....156..217N
 14383936-0257237 |             |     |          |     3.83385954195534 |  -0.0516027188237297 |          |                     |  9.855 |  9.301 |  9.031 | 14.003 | 14.003 |  0.01 | APASS8              |          |        | 
 14402215-2752419 |             |     |          |      3.8413337050375 |   -0.486570044720912 | M3.0     | 2005A&A...442..211S |  9.571 |  9.027 |  8.753 |  13.58 |  13.58 |       | 2002AJ....123.2822R |          |        | 
