     twomass      |  lspmname   | tic |   kic    |        catra         |        catdec        | spectype |     r_spectype      |  jmag  |  hmag  |  kmag  |  vmag  |   v    |  e_v  |       bibcode       |   prot   | g_prot |       r_prot        
 07075060+6449215 | J0707+6449  |     |          |             1.866817 |             1.131368 |          |                     |  9.054 |  8.437 |  8.204 | 12.336 | 12.336 | 0.067 | APASS8              |          |        | 
 07093364+0800566 | J0709+0800  |     |          |             1.874312 |             0.139901 |          |                     | 10.147 |  9.563 |   9.27 | 14.479 | 14.479 | 0.043 | APASS8              |          |        | 
 07101341+4700579 | J0710+4700  |     |          |             1.877205 |             0.820586 |          |                     |  9.712 |  9.125 |  8.889 |  13.41 |  13.41 | 0.061 | APASS8              |  23.8079 | 0      | 2011AJ....141..166H
 07135280+4039319 | J0713+4039  |     |          |             1.893158 |             0.709631 |          |                     |  9.165 |  8.438 |   8.29 | 12.444 | 12.444 | 0.054 | APASS8              |  40.2895 | 0      | 2011AJ....141..166H
 07140450+5043334 | J0714+5043  |     |          |             1.894011 |             0.885334 | M0.5     | 2013AJ....145..102L |  8.443 |  7.821 |  7.616 | 11.515 | 11.515 | 0.035 | APASS8              |          |        | 
 07150088+0129420 | J0715+0129  |     |          |              1.89811 |             0.026093 |          |                     | 10.227 |  9.672 |   9.42 | 14.343 | 14.343 | 0.013 | APASS8              |          |        | 
 07161207+3315154 | J0716+3315  |     |          |             1.903287 |             0.580397 | M0.5     | 2013AJ....145..102L |  8.627 |  7.997 |  7.783 | 11.617 | 11.617 | 0.029 | APASS8              |          |        | 
 07162755+0409073 | J0716+0409  |     |          |             1.904413 |             0.072467 | M0.0     | 2005A&A...442..211S |  9.359 |  8.728 |  8.535 |  12.14 |  12.14 |       | 1986AJ.....91..626W |          |        | 
 07165156+2528292 | J0716+2528  |     |          |             1.906159 |              0.44462 |          |                     |  10.19 |  9.635 |  9.362 | 14.278 | 14.278 | 0.066 | APASS8              |          |        | 
 07171856+0036339 | J0717+0036  |     |          |             1.908122 |             0.010637 |          |                     |   9.92 |  9.309 |  9.107 | 13.129 | 13.129 | 0.015 | APASS8              |          |        | 
